State,Industry,Employed person in Thousands
W.P. PUTRAJAYA,"Wholesale and retail trade, repair of motor vehicles and motorcycles",1.7
JOHOR,Transportation and storage,86.5
KEDAH,Transportation and storage,30.7
KELANTAN,Transportation and storage,17.1
MALAYSIA,Transportation and storage,658.2
MELAKA,Transportation and storage,10.6
NEGERI SEMBILAN,Transportation and storage,27.4
PULAU PINANG,Transportation and storage,40.6
PAHANG,Transportation and storage,27.1
PERAK,Transportation and storage,34.1
PERLIS,Transportation and storage,3.2
SABAH,Transportation and storage,66.5
SARAWAK,Transportation and storage,49.5
SELANGOR,Transportation and storage,206.2
TERENGGANU,Transportation and storage,13.2
W.P. KUALA LUMPUR,Transportation and storage,42.9
W.P. LABUAN,Transportation and storage,1.8
W.P. PUTRAJAYA,Transportation and storage,0.9
JOHOR,Accommodation and food service activities,146.3
KEDAH,Accommodation and food service activities,108.7
KELANTAN,Accommodation and food service activities,73.8
MALAYSIA,Accommodation and food service activities,"1,323.20"
MELAKA,Accommodation and food service activities,43
NEGERI SEMBILAN,Accommodation and food service activities,47.2
PULAU PINANG,Accommodation and food service activities,69.2
PAHANG,Accommodation and food service activities,60.5
PERAK,Accommodation and food service activities,122.8
PERLIS,Accommodation and food service activities,12.8
SABAH,Accommodation and food service activities,129.8
SARAWAK,Accommodation and food service activities,101.3
SELANGOR,Accommodation and food service activities,267.2
TERENGGANU,Accommodation and food service activities,47.1
W.P. KUALA LUMPUR,Accommodation and food service activities,87.4
W.P. LABUAN,Accommodation and food service activities,5
W.P. PUTRAJAYA,Accommodation and food service activities,1.2
JOHOR,Information and communication,12.4
KEDAH,Information and communication,3.2
KELANTAN,Information and communication,3
MALAYSIA,Information and communication,220.3
MELAKA,Information and communication,4
NEGERI SEMBILAN,Information and communication,4.2
PULAU PINANG,Information and communication,7.4
PAHANG,Information and communication,3.8
PERAK,Information and communication,4.4
PERLIS,Information and communication,0.3
SABAH,Information and communication,7.6
SARAWAK,Information and communication,6.9
SELANGOR,Information and communication,123.3
TERENGGANU,Information and communication,1.6
