Country Name,Country Code,Year,Value,2015 Population
Papua New Guinea,PNG,2015,21060901604,8682174
Paraguay,PRY,2015,27282581336,6177950
Peru,PER,2015,1.89E+11,30711863
Philippines,PHL,2015,2.93E+11,103031365
Poland,POL,2015,4.77E+11,38553146
Portugal,PRT,2015,1.99E+11,10365435
Qatar,QAT,2015,1.65E+11,2414573
Romania,ROU,2015,1.78E+11,19906079
Russia,RUS,2015,1.37E+12,1.44E+08
Rwanda,RWA,2015,8261034258,11642959
Samoa,WSM,2015,803985809.2,203571
San Marino,SMR,2015,1569258068,33570
Sao Tome and Principe,STP,2015,315880811.1,201124
Saudi Arabia,SAU,2015,6.52E+11,32749848
Senegal,SEN,2015,13640668374,14356181
Serbia,SRB,2015,37160332465,7519496
Seychelles,SYC,2015,1437722206,99240
Sierra Leone,SLE,2015,4251869870,7314773
Singapore,SGP,2015,2.97E+11,5650018
Slovak Republic,SVK,2015,87501423882,5.40E+06
Slovenia,SVN,2015,43072415017,2080862
Solomon Islands,SLB,2015,1129164719,612660
Somalia,SOM,2015,5925000000,13763906
South Africa,ZAF,2015,3.18E+11,55876504
South Sudan,SSD,2015,9015221096,11194299
Spain,ESP,2015,1.20E+12,46431342
Sri Lanka,LKA,2015,80611989527,21336697
St. Kitts and Nevis,KNA,2015,878281507.8,"47,790"
St. Lucia,LCA,2015,1649142630,"175,623"
St. Vincent and the Grenadines,VCT,2015,755205755.9,"106,482"
Sudan,SDN,2015,97156119150,38171178
Suriname,SUR,2015,4826587058,575475
Swaziland,SWZ,2015,4020275298,1.13E+07
Sweden,SWE,2015,4.98E+11,9849349
Switzerland,CHE,2015,6.79E+11,8281732
Tajikistan,TJK,2015,7853450374,8524063
Tanzania,TZA,2015,45628320606,52542823
Thailand,THA,2015,3.99E+11,70294397
Timor-Leste,TLS,2015,1606500000,1205813
Togo,TGO,2015,4087628276,7473229
Tonga,TON,2015,435438217.3,106122
Trinidad and Tobago,TTO,2015,23559224762,1460177
Tunisia,TUN,2015,43156708809,11557779
Turkey,TUR,2015,8.60E+11,79646178
Turkmenistan,TKM,2015,35799628571,5766431
Tuvalu,TUV,2015,32673277.74,10877
Uganda,UGA,2015,27059447775,37477356
Ukraine,UKR,2015,91030959455,44982564
United Arab Emirates,ARE,2015,3.58E+11,8916899
United Kingdom,GBR,2015,2.89E+12,65224364
United States of America,USA,2015,1.81E+13,324607776
Uruguay,URY,2015,53274304215,3402818
Uzbekistan,UZB,2015,66903804143,30949417
Vanuatu,VUT,2015,742432131,276438
Vietnam,VNM,2015,1.93E+11,92191398
Virgin Islands (U.S.),VIR,2015,3765000000,"107,712"
West Bank and Gaza,PSE,2015,12673000000,4.75E+06
"Yemen, Rep.",YEM,2015,37733919936,3.10E+07
Zambia,ZMB,2015,21154394546,16248230
Zimbabwe,ZWE,2015,16304667807,14154937
Libya,,2015,4.87E+07,6.92E+06
